tourney_date,surface,winner_id,loser_id,w_ace,l_ace,winner_rank,loser_rank,tourney_name,winner_ht,loser_ht,winner_hand,loser_hand
2023-01-16,Hard,106043,208071,8.0,9.0,26.0,188.0,Australian Open,170.0,185.0,R,R
2023-01-16,Hard,200670,111442,17.0,19.0,67.0,88.0,Australian Open,183.0,183.0,R,R
2023-01-16,Hard,111581,106362,9.0,11.0,107.0,175.0,Australian Open,188.0,188.0,R,R
2023-01-16,Hard,100644,122669,21.0,15.0,13.0,103.0,Australian Open,198.0,185.0,R,R
2023-01-16,Hard,104918,126610,10.0,31.0,66.0,14.0,Australian Open,191.0,196.0,R,R
2023-01-16,Hard,106423,104926,14.0,4.0,159.0,57.0,Australian Open,193.0,178.0,R,R
2023-01-16,Hard,200587,126846,4.0,19.0,215.0,146.0,Australian Open,185.0,188.0,R,R
2023-01-16,Hard,105138,105311,6.0,4.0,25.0,81.0,Australian Open,183.0,185.0,R,R
2023-01-16,Hard,200221,122330,7.0,20.0,32.0,36.0,Australian Open,183.0,196.0,R,R
2023-01-16,Hard,126205,105526,20.0,8.0,35.0,167.0,Australian Open,185.0,193.0,R,R
2023-01-16,Hard,202385,106331,9.0,8.0,39.0,80.0,Australian Open,188.0,183.0,R,R
2023-01-16,Hard,134770,207830,11.0,10.0,3.0,110.0,Australian Open,183.0,183.0,R,R
2023-01-16,Hard,111456,104745,14.0,6.0,65.0,2.0,Australian Open,178.0,185.0,R,L
2023-01-16,Hard,106415,207494,2.0,1.0,33.0,216.0,Australian Open,170.0,178.0,L,R
2023-01-16,Hard,111575,106186,15.0,14.0,20.0,84.0,Australian Open,198.0,178.0,R,R
2023-01-16,Hard,126207,209992,20.0,1.0,17.0,194.0,Australian Open,188.0,180.0,R,L
2023-01-16,Hard,128034,132283,9.0,5.0,11.0,47.0,Australian Open,196.0,191.0,R,R
2023-01-16,Hard,133430,106121,9.0,2.0,22.0,94.0,Australian Open,185.0,191.0,L,R
2023-01-16,Hard,200624,133297,10.0,6.0,31.0,138.0,Australian Open,196.0,180.0,R,R
2023-01-16,Hard,106421,105357,10.0,0.0,8.0,140.0,Australian Open,198.0,183.0,R,R
2023-01-16,Hard,126774,208014,6.0,3.0,4.0,169.0,Australian Open,193.0,178.0,R,R
2023-01-16,Hard,134868,122298,9.0,8.0,63.0,34.0,Australian Open,188.0,191.0,R,R
2023-01-16,Hard,105916,144750,3.0,5.0,78.0,186.0,Australian Open,188.0,193.0,R,R
2023-01-16,Hard,206173,144869,6.0,6.0,16.0,79.0,Australian Open,191.0,196.0,R,R
2023-01-16,Hard,111815,106005,17.0,0.0,12.0,55.0,Australian Open,188.0,180.0,L,R
2023-01-16,Hard,208103,111153,4.0,8.0,71.0,116.0,Australian Open,185.0,201.0,R,R
2023-01-16,Hard,202103,144895,2.0,1.0,29.0,62.0,Australian Open,185.0,180.0,R,L
2023-01-16,Hard,200000,144684,23.0,4.0,7.0,53.0,Australian Open,193.0,178.0,R,L
2023-01-16,Hard,126094,200325,16.0,9.0,6.0,46.0,Australian Open,188.0,188.0,R,R
2023-01-16,Hard,105554,104871,8.0,6.0,30.0,999.0,Australian Open,175.0,188.0,R,R
2023-01-16,Hard,200005,106045,18.0,5.0,106.0,108.0,Australian Open,188.0,180.0,L,R
2023-01-16,Hard,208029,202195,10.0,10.0,10.0,41.0,Australian Open,188.0,201.0,R,R
2023-01-16,Hard,126127,105807,15.0,12.0,48.0,15.0,Australian Open,183.0,188.0,R,R
2023-01-16,Hard,200282,105173,3.0,2.0,24.0,45.0,Australian Open,183.0,180.0,R,L
2023-01-16,Hard,105777,111513,9.0,4.0,28.0,68.0,Australian Open,191.0,188.0,R,R
2023-01-16,Hard,104925,111505,9.0,7.0,5.0,191.0,Australian Open,188.0,183.0,R,R
2023-01-16,Hard,200615,126203,19.0,21.0,113.0,9.0,Australian Open,196.0,196.0,R,R
2023-01-16,Hard,210097,111797,8.0,10.0,89.0,154.0,Australian Open,193.0,201.0,L,R
2023-01-16,Hard,200670,106043,16.0,2.0,67.0,26.0,Australian Open,183.0,170.0,R,R
2023-01-16,Hard,111581,100644,13.0,13.0,107.0,13.0,Australian Open,188.0,198.0,R,R
2023-01-16,Hard,104918,106423,10.0,37.0,66.0,159.0,Australian Open,191.0,193.0,R,R
2023-01-16,Hard,105138,200587,10.0,16.0,25.0,215.0,Australian Open,183.0,185.0,R,R
2023-01-16,Hard,126205,200221,18.0,6.0,35.0,32.0,Australian Open,185.0,183.0,R,R
2023-01-16,Hard,202385,134770,2.0,5.0,39.0,3.0,Australian Open,188.0,183.0,R,R
2023-01-16,Hard,106415,111456,3.0,7.0,33.0,65.0,Australian Open,170.0,178.0,L,R
2023-01-16,Hard,111575,126207,20.0,15.0,20.0,17.0,Australian Open,198.0,188.0,R,R
2023-01-16,Hard,128034,133430,16.0,20.0,11.0,22.0,Australian Open,196.0,185.0,R,L
2023-01-16,Hard,200624,106421,3.0,9.0,31.0,8.0,Australian Open,196.0,198.0,R,R
2023-01-16,Hard,126774,134868,7.0,6.0,4.0,63.0,Australian Open,193.0,188.0,R,R
2023-01-16,Hard,206173,105916,6.0,3.0,16.0,78.0,Australian Open,191.0,188.0,R,R
2023-01-16,Hard,208103,111815,8.0,5.0,71.0,12.0,Australian Open,185.0,188.0,R,L
2023-01-16,Hard,200000,202103,9.0,3.0,7.0,29.0,Australian Open,193.0,185.0,R,R
2023-01-16,Hard,126094,105554,10.0,3.0,6.0,30.0,Australian Open,188.0,175.0,R,R
2023-01-16,Hard,208029,200005,5.0,9.0,10.0,106.0,Australian Open,188.0,188.0,R,L
2023-01-16,Hard,200282,126127,8.0,6.0,24.0,48.0,Australian Open,183.0,183.0,R,R
2023-01-16,Hard,104925,105777,11.0,15.0,5.0,28.0,Australian Open,188.0,191.0,R,R
